sinus results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
|      80     |          72          |            46           | 5.277656289437438e-05  |
|      80     |          73          |            42           | 4.369743543181093e-05  |
|      80     |          74          |            44           | 9.555739404976116e-05  |
|      80     |          75          |            46           |  6.42155717525128e-05  |
|      80     |          76          |            46           | 8.495475565772903e-05  |
|      90     |          30          |            20           | 6.605733846698492e-05  |
|      90     |          31          |            24           | 1.9401191140300256e-05 |
|      90     |          32          |            18           | 4.7585583037579315e-05 |
|      90     |          33          |            20           | 9.513961045650159e-05  |
|      90     |          34          |            24           | 3.439484304590401e-05  |
|      90     |          35          |            22           |  6.78722999120085e-05  |
|      90     |          36          |            26           | 2.5808070374722103e-05 |
|      90     |          37          |            24           | 5.326745263545263e-05  |
|      90     |          38          |            24           | 8.767351143945668e-05  |
|      90     |          39          |            30           | 3.9088291070965564e-05 |
|      90     |          40          |            28           | 1.4965958030466187e-05 |
|      90     |          41          |            30           | 3.0217832304058057e-05 |
|      90     |          42          |            26           | 6.277967864387612e-05  |
|      90     |          43          |            26           | 8.423679722147082e-05  |
|      90     |          44          |            30           | 4.1806089455809214e-05 |
|      90     |          45          |            28           | 6.689749362642772e-05  |
|      90     |          46          |            34           | 3.327550259490941e-05  |
|      90     |          47          |            32           | 5.372506235029606e-05  |
|      90     |          48          |            28           | 9.039933815013779e-05  |
|      90     |          49          |            32           | 4.333985292409581e-05  |
|      90     |          50          |            30           | 8.441894359034752e-05  |
|      90     |          51          |            30           | 9.404106780985799e-05  |
|      90     |          52          |            32           | 5.396911535682225e-05  |
|      90     |          53          |            30           | 8.854542525160713e-05  |
|      90     |          54          |            36           | 4.4294393527211096e-05 |
|      90     |          55          |            32           | 6.432837366598942e-05  |
|      90     |          56          |            34           | 8.917523646623238e-05  |
|      90     |          57          |            36           | 2.5281240630115054e-05 |
|      90     |          58          |            34           |  7.40727475481151e-05  |
|      90     |          59          |            40           | 4.492029253294616e-05  |
|      90     |          60          |            34           | 6.295915468024216e-05  |
|      90     |          61          |            38           | 8.536887407406546e-05  |
|      90     |          62          |            42           | 2.8203521956315925e-05 |
|      90     |          63          |            36           | 9.430631313300797e-05  |
|      90     |          64          |            38           |  4.6723280590244e-05   |
|      90     |          65          |            38           | 6.160057211679337e-05  |
|      90     |          66          |            38           | 8.488921034643937e-05  |
|      90     |          67          |            38           |  6.86745532187949e-05  |
|      90     |          68          |            38           | 9.390896001826299e-05  |
|      90     |          69          |            38           | 9.632090573652441e-05  |
|      90     |          70          |            42           | 6.859649475543517e-05  |
|      90     |          71          |            40           | 8.361706800574797e-05  |
|      90     |          72          |            44           | 5.340538368281411e-05  |
|      90     |          73          |            46           | 7.310736475185653e-05  |
|      90     |          74          |            42           |  9.3095341535121e-05   |
|      90     |          75          |            44           | 6.175421110765633e-05  |
|      90     |          76          |            44           | 8.307147848440888e-05  |
|      90     |          77          |            44           | 5.391095858997552e-05  |
|      90     |          78          |            44           | 7.407272199833059e-05  |
|      90     |          79          |            42           | 9.256603920970718e-05  |
|      90     |          80          |            44           | 6.214770114831847e-05  |
|      90     |          81          |            48           | 9.393244682753821e-05  |
|      90     |          82          |            52           | 5.375011301078647e-05  |
|      90     |          83          |            48           | 7.114286375398127e-05  |
|      90     |          84          |            50           | 9.425813781682724e-05  |
|      90     |          85          |            50           | 6.402792650272993e-05  |
|      90     |          86          |            44           | 5.5325706905751115e-05 |
|     100     |          33          |            22           | 9.153311337828374e-05  |
|     100     |          34          |            24           | 3.463189170010983e-05  |
|     100     |          35          |            24           | 6.784621499666965e-05  |
|     100     |          36          |            24           | 2.5767253459374473e-05 |
|     100     |          37          |            24           | 5.274100526085714e-05  |
|     100     |          38          |            24           |  8.81164142424451e-05  |
|     100     |          39          |            28           |  3.90946312325835e-05  |
|     100     |          40          |            26           | 6.759444264992087e-05  |
|     100     |          41          |            30           | 3.030284967620034e-05  |
|     100     |          42          |            28           | 5.2538793088419133e-05 |
|     100     |          43          |            28           | 2.6222836775169345e-05 |
|     100     |          44          |            26           | 6.121285661575548e-05  |
|     100     |          45          |            28           | 6.650587507606165e-05  |
|     100     |          46          |            28           | 9.991596594771668e-05  |
|     100     |          47          |            34           | 5.321788513562575e-05  |
|     100     |          48          |            32           | 8.016358749218799e-05  |
|     100     |          49          |            32           | 4.307296438643693e-05  |
|     100     |          50          |            32           | 3.2525309918929324e-05 |
|     100     |          51          |            32           | 9.404124905476596e-05  |
|     100     |          52          |            34           | 5.3488149605707136e-05 |
|     100     |          53          |            34           | 7.749787062227842e-05  |
|     100     |          54          |            38           | 4.409906092217586e-05  |
|     100     |          55          |            34           | 6.413054769044413e-05  |
|     100     |          56          |            34           | 8.958929788704939e-05  |
|     100     |          57          |            36           | 3.8548851192032885e-05 |
|     100     |          58          |            36           | 7.481660983543748e-05  |
|     100     |          59          |            40           |  4.4819190286427e-05   |
|     100     |          60          |            38           | 6.304619059288585e-05  |
|     100     |          61          |            38           | 8.533424742118711e-05  |
|     100     |          62          |            32           |  9.17493698843197e-05  |
|     100     |          63          |            36           | 8.426543885942106e-05  |
|     100     |          64          |            40           | 9.825984011724298e-05  |
|     100     |          65          |            40           | 6.195319347040984e-05  |
|     100     |          66          |            40           | 8.353376238268151e-05  |
|     100     |          67          |            38           |  6.92856817843257e-05  |
|     100     |          68          |            42           | 7.238168623280306e-05  |
|     100     |          69          |            40           | 9.418216552281589e-05  |
|     100     |          70          |            44           | 6.236668679371338e-05  |
|     100     |          71          |            46           | 2.5527195435082195e-05 |
|     100     |          72          |            38           | 8.082121348762517e-05  |
|     100     |          73          |            46           |  7.07121779003339e-05  |
|     100     |          74          |            46           | 9.526243885560337e-05  |
|     100     |          75          |            42           | 6.264411230683109e-05  |
|     100     |          76          |            46           | 8.356777162310536e-05  |
|     100     |          77          |            48           | 5.498366465761517e-05  |
|     100     |          78          |            48           |  2.93990737941785e-05  |
|     100     |          79          |            46           | 9.282940932242578e-05  |
|     100     |          80          |            52           | 6.280620390008984e-05  |
|     100     |          81          |            52           | 8.340276977103489e-05  |
|     100     |          82          |            48           | 4.171268848390808e-05  |
|     100     |          83          |            54           | 7.448747225202723e-05  |
|     100     |          84          |            44           | 7.846835409008879e-05  |
