sinus plus x results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
|      80     |          31          |            18           |  0.000843690025394972  |
|      80     |          32          |            24           | 0.00018705758093529035 |
|      80     |          33          |            20           | 0.0009736272631633014  |
|      80     |          34          |            20           | 0.0008405219766280947  |
|      80     |          35          |            22           | 0.00037062900055329084 |
|      80     |          36          |            20           | 0.0009442833178769927  |
|      80     |          37          |            22           | 0.0006775023677080272  |
|      80     |          38          |            22           | 0.0009688789379422857  |
|      80     |          39          |            28           | 0.00018931077265949003 |
|      80     |          40          |            24           | 0.0006382083921703252  |
|      80     |          41          |            24           | 0.0007496920360818837  |
|      80     |          42          |            26           | 0.0005431201331710378  |
|      80     |          43          |            22           | 0.0006454747852622233  |
|      80     |          44          |            26           | 0.0008383121167226948  |
|      80     |          45          |            24           | 0.0009638741490980429  |
|      80     |          46          |            26           | 0.0008412789347722605  |
|      80     |          47          |            26           | 0.0004049649062479732  |
|      80     |          48          |            28           | 0.0006590556927936753  |
|      80     |          49          |            28           | 0.0006617672218400816  |
|      80     |          50          |            24           | 0.0007114132049658162  |
|      80     |          51          |            22           | 0.0009762020955621509  |
|      80     |          52          |            30           | 0.0007534113759535277  |
|      80     |          53          |            30           | 0.0007032544360867643  |
|      80     |          54          |            30           | 0.0004548462773725781  |
|      80     |          55          |            28           | 0.0007130014913878657  |
|      80     |          56          |            28           | 0.0008966456149661628  |
|      80     |          57          |            34           | 0.00036496777989292184 |
|      80     |          58          |            28           | 0.0008452768777250652  |
|      80     |          59          |            32           |  0.00054745309014681   |
|      80     |          60          |            30           | 0.0006459996380281385  |
|      80     |          61          |            32           | 0.0005108025344130462  |
|      80     |          62          |            30           |  0.000563318130980317  |
|      80     |          63          |            30           | 0.0007937202544285871  |
|      80     |          64          |            28           |  0.000753881567479131  |
|      80     |          65          |            30           | 0.0009012403464450092  |
|      80     |          66          |            26           |  0.000957983507275717  |
|      80     |          67          |            32           | 0.0008001110287390034  |
|      80     |          68          |            34           | 0.0005803892613274186  |
|      80     |          69          |            34           | 0.0006352103329173575  |
|      80     |          70          |            30           | 0.0007635189539649812  |
|      80     |          71          |            34           | 0.0008108625443762341  |
|      80     |          72          |            30           |  0.000971022267404198  |
|      80     |          73          |            30           |  0.000995956848006796  |
|      80     |          74          |            42           | 0.0002653571683275402  |
|      80     |          75          |            36           | 0.0007379359020125431  |
|      80     |          76          |            36           | 0.0008182508453133952  |
|      90     |          30          |            20           | 0.0008167645289256509  |
|      90     |          31          |            20           | 0.0008246079660367833  |
|      90     |          32          |            24           | 0.00019137564737281565 |
|      90     |          33          |            24           | 0.00035175559543154655 |
|      90     |          34          |            20           | 0.0008344026189557319  |
|      90     |          35          |            22           | 0.0003735627582446277  |
|      90     |          36          |            20           | 0.0009381097270890759  |
|      90     |          37          |            22           | 0.0006763690950942758  |
|      90     |          38          |            24           | 0.0004919530833712438  |
|      90     |          39          |            26           | 0.00018809899416372122 |
|      90     |          40          |            24           | 0.0006400176248466671  |
|      90     |          41          |            26           | 0.0003564079261960673  |
|      90     |          42          |            26           |  0.00054843428436957   |
|      90     |          43          |            24           | 0.0006035546790710278  |
